x_m,y_m,z_m
-3.638102583352397779e-01,2.196599900315353016e-01,-1.522278920395499224e-01
-3.122167622358394401e-01,2.052167643899496102e-02,4.834648970366884901e-01
5.665562546134995589e-03,2.222565159919194337e-03,6.983667547563306155e-02
1.891702589090062669e-01,-3.789616898452011773e-01,3.799157219354883930e-01
4.544781014422815540e-02,2.009972099571406823e-02,1.378507609769672182e-01
2.212219298125894101e-02,1.262248841970353419e-01,5.834736406477009085e-01
5.763171473619409929e-02,6.218836439317713960e-02,2.267626631842819540e-01
1.628318500689542037e-02,2.029296939307231040e-01,2.254938320569681853e-01
3.893916213900536910e-02,5.581721245409963783e-02,-3.129427745534261174e-01
8.460180935068489783e-02,7.925041833699125737e-02,2.702366123052894475e-01
-2.381204900346949385e-02,8.165283870168162095e-03,1.634414461813619435e-01
1.205889685341181988e-02,1.585542568632762050e-01,1.884208020609083323e-01
2.898775158548250186e-02,-2.394116626019519509e-02,8.329633262293031915e-02
-1.662456833595380434e-01,2.235474184012768879e-03,-3.581673775089082579e-01
3.946022816375222009e-02,7.081687919555951227e-02,4.290918924033997051e-02
1.473744270417995939e-01,4.548107000472077499e-01,2.052516535221082794e-01
1.220872425191555366e-01,3.880133610315561477e-01,4.112817924660267521e-01
-5.447315284108132649e-02,-1.078959843462898860e-01,5.755414656610785551e-02
-1.501718430547254457e-01,-1.168649517266105997e-01,5.448675937557555526e-01
8.395065856468084120e-03,2.397997613244996495e-01,1.436843647462395512e-01
-2.120207437466552769e-01,1.219953612713789992e-01,3.271759729978335751e-01
-5.708370799354472959e-04,1.784084064852441698e-01,5.591402972547679928e-01
-3.664151945683764566e-01,-9.186589717845924929e-02,4.184860952540715440e-01
1.882424175873106120e-01,-5.634301368702263058e-02,1.993071965660386802e-01
3.517298327834558758e-01,9.688183759725646493e-02,-1.948312926368502285e-01
-2.211601310806673715e-01,2.593166765434170018e-01,3.310057004267845659e-01
1.538280247159744540e-01,-1.870057753478754359e-01,2.648066661974795080e-02
-7.595056645090526859e-02,6.306402241880462722e-02,-3.933055378631475363e-02
-2.647953538884277869e-01,-7.468797687226574888e-02,2.132853445629959710e-01
-1.338846955724014021e-01,-2.739777551076985063e-01,-9.527284078542014312e-02
1.161031683187813135e-02,-2.135917614996052094e-01,5.255033558514825565e-01
2.177327334211290322e-02,-4.401063008676839999e-02,1.165833268441158754e-01
-2.785083712550968649e-01,-2.615847118730221244e-01,4.402673069169706910e-01
2.845167455511269372e-01,-3.757555018577459771e-01,2.459813283305883336e-01
4.174510627489484982e-01,1.598752199212244776e-02,3.182889362656817767e-01
-4.094605845455989712e-02,3.985321300292956059e-01,3.482530389419000172e-02
-3.891923335099905373e-02,-2.768990122267282056e-02,8.587325129607246976e-02
-1.192091374599617420e-01,2.324750376385899542e-01,3.581186690498990854e-01
-7.999123715790085187e-02,-5.117777697168790496e-02,8.414473467138736118e-02
1.629188892099532882e-01,3.430903792077336645e-01,1.888716603776654790e-01
-3.638781091831697623e-01,-2.298832945421218701e-02,1.044683712522404412e-01
-1.969434692668863007e-02,1.004958109928164034e-01,1.164343063752625029e-01
3.318279209465211377e-01,-2.966692740808994644e-02,-1.212195296196573041e-01
2.735980219285257670e-02,-1.603895690753893988e-01,1.338406245497175684e-01
-5.657269295175437057e-02,1.537418427961788903e-01,-1.199667905438489973e-01
-2.875346727992962315e-01,1.057132857141144799e-01,5.203094033446079569e-01
2.666891981510242093e-01,-2.346447032788522846e-01,2.241567040150043988e-01
4.286107830097389201e-03,-3.791053718577063192e-01,4.159646148040102576e-01
-1.868455174795985996e-01,-2.464592066377827850e-01,-5.088018531293255625e-02
1.809802514028433507e-01,-3.111203281587103797e-01,1.750021103971504122e-01
1.872604954584679293e-01,4.059752434470322857e-01,-1.102217273061449065e-01
-3.527315500375151347e-02,1.204595400879254069e-02,8.111792273776011197e-02
2.597536925301501820e-01,-7.320916283624799223e-04,2.172648741381556087e-02
-6.024775105654411878e-04,-6.729457443524025119e-03,6.961030773232966540e-02
4.621858474177178294e-02,5.945538836451952358e-02,1.495356692821398215e-01
-9.306873444331151962e-03,4.202563479115953293e-02,9.338440997628717766e-02
-9.226682127446160508e-02,2.828013347346289286e-01,8.402226107507708430e-02
2.796518184163926390e-01,-3.345473218536014481e-02,3.321513255207320103e-01
-7.292247144267527403e-02,-7.702101481574809283e-02,5.649617096638486630e-02
-1.453224215315584988e-01,-8.056747316194529107e-02,2.698098170071074886e-01
9.376650140935297029e-02,3.484009244967916641e-01,-2.050105041627160174e-01
-9.567867944646546441e-02,-3.285595120113647960e-01,-2.247132741966389458e-01
5.025813616419927410e-02,1.917086520470689670e-01,-4.400111089110238238e-02
-8.133217598702174866e-02,1.033931033368350738e-01,1.886385624452566190e-02
-2.549899801948828787e-02,7.683737645770158387e-02,-2.496960160857851219e-01
-1.814268744982482917e-01,4.400394351810414384e-01,5.648636886121582990e-02
1.868158379210041464e-01,-4.385730551526389465e-01,9.091324905562990499e-02
-1.272334513679299894e-01,-2.119176569273501787e-01,2.576047533646793619e-01
2.597466389096150241e-01,-1.243022539493077172e-02,2.394994202773217673e-01
6.772908842590114054e-02,1.698194587718636697e-02,4.303862651866239286e-01
1.639713900437316796e-01,1.990552782772655738e-01,-6.828333366573707819e-02
-4.391553460355400174e-01,-1.165126725585930723e-01,-5.962607851389725711e-02
-1.360193269133431748e-01,9.790884976357495939e-02,-3.574251744071304526e-01
1.539590139179149164e-01,-2.573149874679792060e-01,-2.328797444957043938e-01
1.198522889137619424e-01,-2.573594332198124723e-01,1.355182976357783287e-01
-3.716517020477800304e-01,3.958552043581289870e-02,-1.535404267272006962e-01
1.186314871327350529e-01,-5.116691709723154846e-02,1.361101345418659625e-01
-2.841610385112239845e-01,6.490866239498274681e-02,4.575542474757129940e-01
-4.005871721530175344e-01,6.313169646094954346e-02,-7.538503941582605505e-02
-1.564756597519642300e-01,-2.147010565433739304e-02,4.788743062496749192e-01
-9.923005153458898386e-02,-3.217326678235293141e-02,8.571717110543485008e-02
7.189975731350504995e-02,-3.247833511838934539e-01,4.979006844749970240e-01
6.166783012708194206e-02,-2.178752428570598365e-01,5.236788218205918888e-01
2.842320655686065775e-02,-2.197409181155842994e-01,-2.876979845521438484e-01
2.202326027497050476e-01,1.995993610139238650e-01,-6.661881180479820030e-03
-7.046439681573135605e-02,-4.316753138159200309e-02,5.868237060900987068e-01
